Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Moldova,2009,54th,85.1,8.0,8.0,7.1,6.8,7.0,8.0,8.1,6.7,7.0,6.6,4.2,7.6
Mongolia,2009,127th,61.9,5.0,5.7,4.3,5.9,5.8,2.3,6.7,5.5,6.6,5.8,1.2,7.1
Montenegro,2009,134th,58.0,4.7,6.0,6.4,4.6,4.6,2.5,4.7,4.0,5.5,5.1,4.1,5.8
Morocco,2009,92nd,77.1,5.1,6.2,6.8,6.5,7.8,6.2,7.4,6.5,6.7,7.0,6.7,4.2
Mozambique,2009,72nd,80.7,6.0,5.6,4.8,8.0,7.4,7.6,7.3,8.9,7.2,8.7,3.2,6.0
Myanmar,2009,13th,101.5,8.4,8.7,8.9,8.2,9.5,6.0,9.5,9.0,9.0,9.0,8.8,6.5
Namibia,2009,96th,75.6,5.8,3.6,5.8,6.1,9.1,7.7,5.0,7.1,6.0,7.7,5.5,6.2
Nepal,2009,25th,95.4,8.1,8.4,8.7,8.5,9.3,6.0,8.0,7.4,8.7,8.3,6.8,7.2
Netherlands,2009,169th,27.0,1.0,1.4,4.7,2.5,3.3,2.1,1.4,1.4,1.2,2.9,3.1,2.0
New Zealand,2009,171st,23.3,1.0,1.2,3.2,3.6,4.2,2.3,1.1,1.4,1.7,1.3,1.2,1.1
Nicaragua,2009,64th,82.6,6.5,7.2,6.3,7.7,8.1,6.9,7.1,7.8,5.8,7.4,5.2,6.6
Niger,2009,23rd,96.5,7.4,7.1,8.5,9.2,7.6,6.3,8.7,9.5,8.2,9.5,6.4,8.1
Nigeria,2009,15th,99.8,9.4,9.6,9.7,6.6,9.5,8.3,9.2,9.0,8.6,8.5,5.3,6.1
North Korea,2009,17th,98.3,8.3,7.8,7.2,9.6,8.8,5.0,9.8,9.6,9.5,8.5,6.0,8.2
Norway,2009,177th,18.3,1.1,1.1,1.3,2.3,2.2,1.1,1.0,1.3,1.5,1.9,1.6,1.9
Oman,2009,146th,47.2,5.0,6.6,3.0,4.4,2.3,1.3,6.0,4.5,6.4,4.5,1.0,2.2
Pakistan,2009,10th,104.1,9.5,9.6,9.6,6.4,8.8,8.3,9.1,7.5,8.9,8.3,8.6,9.5
Panama,2009,132nd,59.7,5.1,3.0,4.6,5.6,7.3,5.0,4.7,5.5,4.7,6.6,3.4,4.2
Papua New Guinea,2009,61st,84.1,6.7,7.1,7.3,6.8,8.9,7.6,7.7,8.1,6.5,7.5,4.0,5.9
Paraguay,2009,106th,72.0,5.3,7.5,6.5,5.9,7.9,6.0,7.9,6.0,6.9,6.4,1.3,4.4
Peru,2009,92nd,77.1,7.2,6.9,6.4,5.6,8.2,7.3,6.9,6.3,5.5,6.6,4.5,5.7
Philippines,2009,53rd,85.8,7.7,7.9,7.5,6.0,7.6,7.2,8.5,6.1,7.0,7.2,6.3,6.8
Poland,2009,142nd,49.6,2.3,3.7,3.2,4.8,4.9,6.1,4.4,3.9,4.0,4.9,3.0,4.4
Portugal,2009,163rd,32.7,1.1,1.2,2.6,4.2,3.9,2.3,1.6,3.8,3.7,3.9,1.4,3.0
Qatar,2009,138th,51.9,2.5,5.0,5.2,4.4,5.3,3.3,6.5,2.6,4.5,4.7,3.2,4.7
Romania,2009,129th,61.3,4.3,5.1,5.5,5.3,5.8,5.1,6.2,5.0,4.5,5.6,3.4,5.5
Russia,2009,71st,80.8,6.9,8.0,7.5,4.6,8.1,6.2,8.0,5.7,8.3,7.0,5.9,4.6
Rwanda,2009,43rd,89.0,4.6,8.0,8.7,7.5,7.3,7.2,7.9,7.3,7.3,9.3,6.9,7.0
Samoa,2009,108th,71.4,6.0,5.5,5.2,5.8,6.8,8.2,6.6,5.0,4.7,6.5,3.0,8.1
Sao Tome and Principe,2009,95th,76.7,5.6,6.3,5.0,7.9,6.1,7.3,7.3,7.5,5.3,8.0,4.0,6.4
Saudi Arabia,2009,89th,77.5,8.0,7.8,8.0,2.7,7.0,3.4,8.4,4.3,8.9,6.5,6.0,6.5
Senegal,2009,102nd,74.2,5.9,4.0,6.3,6.5,7.5,5.6,6.0,7.3,6.0,7.4,6.0,5.7
Serbia,2009,78th,79.2,6.3,7.9,7.9,5.9,7.4,5.5,7.3,5.2,5.8,5.8,7.3,6.9
Seychelles,2009,120th,67.7,5.6,6.0,5.0,4.8,6.8,4.7,7.1,4.6,5.9,6.3,4.4,6.5
Sierra Leone,2009,32nd,92.1,6.1,7.7,6.6,8.6,8.4,8.5,7.4,8.7,7.0,8.9,6.9,7.3
Singapore,2009,160th,33.8,1.0,4.1,3.1,3.2,3.0,2.7,4.0,1.5,4.3,3.0,1.1,2.8
Slovak Republic,2009,144th,48.6,2.0,3.9,4.3,4.6,5.8,5.4,3.9,4.0,4.0,4.3,2.0,4.4
Slovenia,2009,156th,36.3,2.7,1.3,3.4,3.6,5.2,3.5,3.0,3.2,3.2,3.6,1.3,2.3
Solomon Islands,2009,40th,89.6,7.2,8.0,7.5,8.3,8.0,5.0,8.3,8.4,7.0,8.0,5.0,8.9
Somalia,2009,1st,114.7,10.0,10.0,9.7,9.5,7.7,8.5,10.0,9.9,9.9,9.8,9.9,9.8
South Africa,2009,122nd,67.4,4.3,5.9,5.3,4.6,8.5,4.3,5.5,5.7,4.5,8.4,7.4,3.0
South Korea,2009,153rd,41.6,1.4,3.6,4.1,2.1,2.4,5.0,4.1,2.2,2.7,4.0,3.5,6.5
Spain,2009,151st,43.3,5.2,5.7,6.2,4.0,5.2,1.7,1.3,2.6,2.7,3.9,2.6,2.2
Sri Lanka,2009,22nd,96.7,9.2,9.2,9.8,6.1,8.5,6.9,9.0,6.6,8.5,7.5,9.3,6.1
Sudan,2009,3rd,112.4,9.7,9.5,9.9,7.0,9.6,9.0,9.8,9.5,9.8,9.0,9.8,9.8
Suriname,2009,103rd,73.2,6.2,5.8,6.2,6.3,7.9,6.9,6.7,5.0,6.0,6.2,3.9,6.1
Swaziland,2009,65th,82.4,6.8,6.9,4.0,8.0,6.0,6.0,8.8,7.8,7.5,9.2,4.0,7.4
Sweden,2009,175th,20.6,1.1,1.3,1.3,1.6,2.3,2.0,1.0,1.2,1.6,2.8,2.6,1.8
Switzerland,2009,174th,21.2,1.0,1.0,2.9,2.1,2.6,2.0,1.2,1.6,1.7,2.6,1.3,1.2
Syria,2009,39th,89.8,7.8,7.8,8.2,6.8,8.0,6.8,8.8,5.7,8.6,6.1,9.2,6.0
Tajikistan,2009,36th,90.3,7.5,8.4,6.9,7.5,7.3,6.5,8.9,7.6,8.6,8.2,6.4,6.5
Tanzania,2009,70th,81.1,5.4,6.3,6.6,7.5,6.9,6.0,6.7,8.0,5.8,8.0,7.1,6.8
Thailand,2009,78th,79.2,7.5,8.0,8.0,3.8,7.7,4.5,8.2,5.4,6.9,6.9,6.5,5.8
Timor-Leste,2009,20th,97.2,9.0,8.8,7.3,8.4,6.8,5.7,9.4,8.4,7.0,8.4,9.0,9.0
Togo,2009,50th,87.2,7.4,7.3,5.8,8.2,7.5,6.9,7.5,8.3,7.6,7.9,6.0,6.8
Trinidad and Tobago,2009,123rd,66.7,5.7,5.6,4.9,4.5,7.6,7.1,6.1,5.4,5.6,5.8,3.1,5.3
Tunisia,2009,121st,67.6,6.2,6.0,5.4,4.9,7.2,5.3,6.6,6.1,7.4,5.9,3.2,3.4
Turkey,2009,85th,78.2,7.0,7.8,7.7,5.3,8.0,5.0,6.5,5.3,6.0,6.8,6.6,6.2
Turkmenistan,2009,59th,84.3,7.6,7.7,6.5,6.9,7.6,5.6,8.5,7.2,8.9,7.0,4.8,6.0
Uganda,2009,21st,96.9,8.2,8.2,8.0,7.6,8.7,6.5,8.0,8.0,7.7,8.7,9.3,8.0
Ukraine,2009,110th,69.7,3.3,7.9,6.9,5.5,6.4,7.1,7.2,4.2,5.5,6.1,3.0,6.6
United Arab Emirates,2009,139th,51.8,2.3,4.0,4.7,3.2,5.7,3.3,6.7,3.6,5.8,4.6,3.4,4.5
United Kingdom,2009,161st,33.6,2.6,2.9,4.3,2.5,4.7,1.9,1.8,2.2,2.3,3.2,2.8,2.4
United States,2009,159th,34.0,1.4,2.5,3.3,2.9,5.3,1.0,3.0,2.3,4.0,3.1,3.7,1.5
Uruguay,2009,154th,41.2,3.3,2.5,2.0,4.1,5.2,5.8,2.8,3.6,2.5,4.7,1.0,3.7
Uzbekistan,2009,31st,92.8,9.0,9.0,7.4,7.2,8.7,7.0,9.0,6.6,9.2,7.9,5.3,6.5
Venezuela,2009,77th,79.5,6.9,7.7,7.0,5.3,8.0,6.9,7.2,5.9,7.3,6.8,5.0,5.5
Vietnam,2009,94th,76.9,6.2,7.1,5.5,6.7,6.5,6.0,7.3,6.3,7.2,6.8,5.3,6.0
Yemen,2009,18th,98.1,8.4,9.0,7.7,8.2,8.9,7.4,8.3,8.5,7.7,8.8,7.9,7.3
Zambia,2009,60th,84.2,5.2,5.7,5.3,8.5,7.1,7.0,7.8,8.4,5.6,9.0,7.1,7.5
Zimbabwe,2009,2nd,114.0,9.7,9.5,9.1,10.0,9.7,10.0,9.8,9.8,9.9,9.8,9.1,7.6
